submissionDate,state,totalCases,newCases,totalDeaths,newDeaths
04/24/2021,AR,334642,184,5717,1
03/05/2021,OK,435087,364,6972,7
02/05/2020,GA,0,0,0,0
02/26/2021,PR,101484,267,2023,5
04/22/2021,AK,64225,218,341,0
05/30/2020,TX,62338,1332,1905,32
10/28/2020,AK,14165,385,108,3
11/07/2021,TX,4244349,1140,70758,53
01/16/2021,MP,128,0,2,0
11/13/2021,NYC,1135743,0,34687,0
06/14/2020,AS,0,0,0,0
08/07/2021,CO,588534,1129,6984,6
04/07/2020,UT,1804,88,13,0
12/03/2021,PW,10,0,0,0
09/08/2021,HI,66925,371,622,0
07/23/2021,TX,3056111,7191,51802,53
02/28/2021,AR,322415,3220,5243,-174
05/08/2020,UT,6041,247,66,5
09/08/2021,CO,637415,1624,7242,16
03/24/2021,PW,0,0,0,0
11/17/2021,PW,10,0,0,0
04/14/2020,AS,0,0,0,0
01/14/2022,WV,377735,5061,5516,13
01/10/2021,AS,3,0,0,0
07/24/2020,PR,5765,251,189,10
06/09/2021,UT,408428,360,2318,2
02/23/2022,PW,3696,29,6,0
02/18/2022,KS,762081,1483,7907,17
06/25/2021,AK,68218,20,367,0
09/27/2021,AK,106976,1289,532,6
02/29/2020,WV,0,0,0,0
09/06/2021,PW,4,0,0,0
12/29/2021,HI,102925,1554,1074,3
07/29/2020,MP,40,0,2,0
06/06/2020,AS,0,0,0,0
07/06/2021,FL,2354379,4010,38231,38
04/18/2021,WV,148887,370,2785,5
01/12/2022,WV,367217,4440,5481,29
07/04/2021,AR,351407,414,5917,2
05/30/2021,MA,706945,162,17872,4
03/07/2021,CO,446514,897,5989,3
07/10/2020,WV,3983,157,95,0
05/19/2020,HI,631,1,17,0
01/15/2021,MA,459927,5525,13691,67
12/02/2020,GA,482139,5734,9567,52
02/26/2021,MA,577980,1987,16129,42
11/05/2020,AK,17263,327,125,0
09/10/2021,CO,641851,2366,7274,20
03/20/2022,AS,1397,209,0,0
08/02/2020,NYC,229113,286,23272,4
03/01/2021,AR,322509,94,5250,7
11/09/2021,PW,10,0,0,0
12/26/2020,PR,75911,365,1434,13
12/09/2021,FL,3736578,2624,62438,22
06/20/2020,MA,102228,223,7908,16
12/08/2020,KS,174025,0,1856,0
11/18/2021,HI,83486,216,981,7
07/12/2021,MA,711162,112,18012,1
10/06/2021,PW,7,0,0,0
10/08/2021,PR,182036,113,3181,3
09/25/2021,CO,670917,2049,7472,0
12/21/2021,AR,545037,955,8997,15
11/18/2020,KS,128594,5853,1326,60
06/06/2020,GA,50126,583,2160,-14
03/29/2020,AS,0,0,0,0
01/20/2022,HI,186148,5811,1124,9
12/06/2021,PR,188904,85,3274,1
04/25/2021,UT,395431,281,2182,2
04/17/2020,NYC,138230,3980,13228,558
